"","t0","t1","t5","t22"
"1",6.72623109049666e-05,5.06987488235346e-05,6.22039325991154e-05,6.18039705682231e-05
"2",0.000105305464039228,6.72623109049666e-05,5.97796894024194e-05,6.11979607702579e-05
"3",7.0024700420084e-05,0.000105305464039228,7.08406974832032e-05,6.16409189901324e-05
"4",3.83437778401599e-05,7.0024700420084e-05,6.82415065708946e-05,6.31433499644443e-05
"5",6.56839393200718e-05,3.83437778401599e-05,6.63270004055947e-05,6.33335295588872e-05
"6",8.24144247777575e-05,6.56839393200718e-05,6.93240385049021e-05,6.38641820395363e-05
"7",8.8856281409157e-05,8.24144247777575e-05,7.23544612794603e-05,6.50882156819699e-05
"8",0.000100468395627673,8.8856281409157e-05,6.90646247534461e-05,6.84325245449289e-05
"9",8.10374603718709e-05,0.000100468395627673,7.51533637949638e-05,7.11572830109338e-05
"10",6.36733929291951e-05,8.10374603718709e-05,8.3692100301306e-05,7.16135212885479e-05
"11",5.40233815488066e-05,6.36733929291951e-05,8.32899910231307e-05,7.24818983220424e-05
"12",5.82217286804508e-05,5.40233815488066e-05,7.76117823773405e-05,7.21512571747431e-05
"13",6.52991835951425e-05,5.82217286804508e-05,7.14848718315993e-05,7.26166056343512e-05
"14",3.28040200930218e-05,6.52991835951425e-05,6.44510294250932e-05,7.27090477665072e-05
"15",6.13826423712105e-05,3.28040200930218e-05,5.48043413693234e-05,6.98200204534885e-05
"16",9.21047939173856e-05,6.13826423712105e-05,5.43461912577264e-05,7.0047044777334e-05
"17",5.35434901792648e-05,9.21047939173856e-05,6.19624737314422e-05,6.73599194393704e-05
"18",4.81490564264673e-05,5.35434901792648e-05,6.1026826031205e-05,6.77940477736829e-05
"19",1.79285540805278e-05,4.81490564264673e-05,5.759680059747e-05,6.63742991163202e-05
"20",3.79967069377645e-05,1.79285540805278e-05,5.46217073949712e-05,6.49164868638301e-05
"21",3.55698681146348e-05,3.79967069377645e-05,4.9944520308282e-05,6.28699437709273e-05
"22",5.17813921936226e-05,3.55698681146348e-05,3.86375351477318e-05,6.23087419276534e-05
"23",4.35114476334696e-05,5.17813921936226e-05,3.82851155506034e-05,6.23579529899302e-05
"24",5.48565606887297e-05,4.35114476334696e-05,3.73575937920039e-05,6.12783682957712e-05
"25",3.39473523428024e-05,5.48565606887297e-05,4.47431951136442e-05,5.8985236325294e-05
"26",2.68242706335876e-05,3.39473523428024e-05,4.39333241946518e-05,5.73453568672357e-05
"27",4.48669176805174e-05,2.68242706335876e-05,4.21842046984424e-05,5.68217429033006e-05
"28",3.39112126228003e-05,4.48669176805174e-05,4.08013097958214e-05,5.58755146469573e-05
"29",4.26803588860464e-05,3.39112126228003e-05,3.88812627936875e-05,5.36708231853683e-05
"30",6.46848475948171e-05,4.26803588860464e-05,3.64460224331508e-05,5.1571917616136e-05
"31",3.26696004673082e-05,6.46848475948171e-05,4.25935214835538e-05,4.99453927055516e-05
"32",9.95248181405302e-05,3.26696004673082e-05,4.37625874502979e-05,4.77468536189806e-05
"33",6.62992985017716e-05,9.95248181405302e-05,5.46941675423004e-05,4.93764638558595e-05
"34",5.83400923821249e-05,6.62992985017716e-05,6.11717847180947e-05,4.99344600809943e-05
"35",0.000108887234766876,5.83400923821249e-05,6.43037314173104e-05,4.99398402492522e-05
"36",0.000145539857036318,0.000108887234766876,7.31442088517221e-05,5.19211153025128e-05
"37",7.67828316956933e-05,0.000145539857036318,9.5718260165524e-05,5.7045471527208e-05
"38",0.000103596118706398,7.67828316956933e-05,9.11698628765566e-05,5.77454801328663e-05
"39",5.61763855831745e-05,0.000103596118706398,9.8629226917482e-05,5.82678130778215e-05
"40",5.39824057346988e-05,5.61763855831745e-05,9.81964855576919e-05,5.83874901416355e-05
"41",8.87511823637331e-05,5.39824057346988e-05,8.72155197512565e-05,5.86526423829188e-05
"42",7.09947365305213e-05,8.87511823637331e-05,7.58577848167396e-05,6.18718527594281e-05
"43",9.13327517787782e-05,7.09947365305213e-05,7.47001657837052e-05,6.33717631954625e-05
"44",0.000107226999933031,9.13327517787782e-05,7.22474923981812e-05,6.59064397256509e-05
"45",0.000165966154527524,0.000107226999933031,8.24576152681525e-05,6.84266946228967e-05
"46",0.000113511825748435,0.000165966154527524,0.000104854365026718,7.39928176635355e-05
"47",5.19589998550314e-05,0.000113511825748435,0.000109806493703658,7.66589660753403e-05
"48",5.44533023698766e-05,5.19589998550314e-05,0.00010599934636856,7.74776773258962e-05
"49",8.09925512364231e-05,5.44533023698766e-05,9.86234564867796e-05,7.87335424048184e-05
"50",0.000108138067616163,8.09925512364231e-05,9.3376566747458e-05,8.03756166573596e-05
"51",7.31292750687986e-05,0.000108138067616163,8.18109493651859e-05,8.37495646116033e-05
"52",8.71388111033635e-05,7.31292750687986e-05,7.37344392292586e-05,8.51336062562739e-05
"53",6.02187530402994e-05,8.71388111033635e-05,8.0770401478925e-05,8.61542409612078e-05
"54",5.45432882227892e-05,6.02187530402994e-05,8.19234916130096e-05,8.74064751690711e-05
"55",6.03116723864988e-05,5.45432882227892e-05,7.66336390102828e-05,8.53618601728101e-05
"56",5.91496328724446e-05,6.03116723864988e-05,6.70683599643499e-05,8.50896953493886e-05
"57",7.00083899598036e-05,5.91496328724446e-05,6.42724315250791e-05,8.51264926444032e-05
"58",4.97490164469946e-05,7.00083899598036e-05,6.08463472963671e-05,8.33592724258999e-05
"59",8.93941006341388e-05,4.97490164469946e-05,5.87523999777061e-05,7.90051433082034e-05
"60",0.000131208924122115,8.93941006341388e-05,6.57225624599761e-05,7.95783828054054e-05
"61",6.33161234841361e-05,0.000131208924122115,7.99020128070992e-05,8.08335103243016e-05
"62",7.46144084703329e-05,6.33161234841361e-05,8.07353109294375e-05,8.11580438652544e-05
"63",6.87951868814987e-05,7.46144084703329e-05,8.16565146315434e-05,8.20958621714196e-05
"64",0.000148849493704417,6.87951868814987e-05,8.54657487184442e-05,8.11887714676817e-05
"65",8.92936524624065e-05,0.000148849493704417,9.73568273324999e-05,8.47276240664952e-05
"66",5.39208985814603e-05,8.92936524624065e-05,8.89737730005583e-05,8.46349377339328e-05
"67",5.28565430434677e-05,5.39208985814603e-05,8.70947280200231e-05,8.22119331270432e-05
"68",0.000125891028269051,5.28565430434677e-05,8.27431549346501e-05,7.70705871504952e-05
"69",0.000119093641012018,0.000125891028269051,9.41623232121605e-05,7.76332781741596e-05
"70",0.000121459347278087,0.000119093641012018,8.82111526736807e-05,8.06848527722044e-05
"71",8.60499954890093e-05,0.000121459347278087,9.46442916368168e-05,8.3730582086214e-05
"72",0.000109720969772278,8.60499954890093e-05,0.000101070111018327,8.3960465915877e-05
"73",0.000146619170860677,0.000109720969772278,0.000112442996364089,8.40324160138822e-05
"74",8.88885086383436e-05,0.000146619170860677,0.000116588624882414,8.7372865822604e-05
"75",9.25973083029032e-05,8.88885086383436e-05,0.000110547598407679,8.74523975287394e-05
"76",0.000124398838557659,9.25973083029032e-05,0.000104775190612642,8.89241500406759e-05
"77",0.000259019669051721,0.000124398838557659,0.000112444959226372,9.20994023286246e-05
"78",0.000115003069532761,0.000259019669051721,0.000142304699082261,0.000101131583995226
"79",0.000195572068509925,0.000115003069532761,0.000135981478816678,0.000103670376570695
"80",0.000127793652309874,0.000195572068509925,0.000157318190790994,0.000109377816504791
"81",0.000108957315269184,0.000127793652309874,0.000164357459592388,0.000112925299953104
"82",8.55732109883755e-05,0.000108957315269184,0.000161269154934693,0.000113814536981969
"83",9.29163145280538e-05,8.55732109883755e-05,0.000126579863322024,0.000111740186384981
"84",0.000181278449525161,9.29163145280538e-05,0.000122162512321082,0.00011308564961425
"85",7.91364554447999e-05,0.000181278449525161,0.00011930378852413,0.000117934015116742
"86",0.000113940361594568,7.91364554447999e-05,0.000109572349151115,0.000118404072778711
"87",0.000118968550498408,0.000113940361594568,0.000110568958416192,0.000116817294046445
"88",9.10978139909447e-05,0.000118968550498408,0.000117248026318198,0.000118166153048081
"89",7.01823241844371e-05,9.10978139909447e-05,0.000116884326210776,0.000119856012839421
"90",6.94439659679242e-05,7.01823241844371e-05,9.46651011426315e-05,0.000120643548345829
"91",5.86530445782928e-05,6.94439659679242e-05,9.27266032472564e-05,0.000118077772786687
