"","t0","t1","t5","t22"
"1",8.22140508846842e-05,7.26478766605746e-05,5.56993982120991e-05,4.18468405178147e-05
"2",5.90044106394937e-05,8.22140508846842e-05,6.17190792661481e-05,4.43894050041276e-05
"3",6.3893349141523e-05,5.90044106394937e-05,6.33802350471674e-05,4.56604312240515e-05
"4",0.000103746733772651,6.3893349141523e-05,6.20069335896323e-05,4.45634464549539e-05
"5",7.31386927857395e-05,0.000103746733772651,7.63012842197853e-05,4.76830285541391e-05
"6",0.00014649120945862,7.31386927857395e-05,7.63994474448183e-05,4.8792847542957e-05
"7",6.19636738734181e-05,0.00014649120945862,8.92548791596055e-05,5.45060022463687e-05
"8",7.18947687121145e-05,6.19636738734181e-05,8.98467318063904e-05,5.68243716707264e-05
"9",6.97006511547352e-05,7.18947687121145e-05,9.14470157205087e-05,5.87242272943216e-05
"10",4.47284055107807e-05,6.97006511547352e-05,8.46377991969254e-05,6.05741200071812e-05
"11",7.60192489038844e-05,4.47284055107807e-05,7.89557417419337e-05,6.16072173690097e-05
"12",0.000130614803700584,7.60192489038844e-05,6.48613496309866e-05,6.39420900287588e-05
"13",9.90689736436599e-05,0.000130614803700584,7.85915755964197e-05,6.73122792829516e-05
"14",4.5184368251259e-05,9.90689736436599e-05,8.40264165827288e-05,7.05547963488725e-05
"15",3.19580305422439e-05,4.5184368251259e-05,7.91231600020336e-05,7.12026826734443e-05
"16",5.53616640287893e-05,3.19580305422439e-05,7.65690850083262e-05,6.92776762779943e-05
"17",5.39282607566396e-05,5.53616640287893e-05,7.24375680333072e-05,6.9025837058196e-05
"18",6.72998146237277e-05,5.39282607566396e-05,5.71002594445184e-05,7.03367403100598e-05
"19",7.36736435806379e-05,6.72998146237277e-05,5.07464276405319e-05,7.1026929810482e-05
"20",2.72642780398933e-05,7.36736435806379e-05,5.64442827064077e-05,7.20712485307657e-05
"21",0.000106881804538167,2.72642780398933e-05,5.55055322059375e-05,7.00941767857973e-05
"22",4.1938861629815e-05,0.000106881804538167,6.5809560307813e-05,7.34853960547191e-05
"23",5.63250574377487e-05,4.1938861629815e-05,6.34116804824481e-05,7.20895317351391e-05
"24",0.000105266901489891,5.63250574377487e-05,6.12167290452523e-05,7.0912759305733e-05
"25",7.82037184873346e-05,0.000105266901489891,6.75353806271029e-05,7.30155997989328e-05
"26",3.50462512275427e-05,7.82037184873346e-05,7.77232687165912e-05,7.36660711328334e-05
"27",4.31311665059986e-05,3.50462512275427e-05,6.33561580544664e-05,7.05433219262375e-05
"28",7.1079096062649e-05,4.31311665059986e-05,6.35946190297031e-05,6.91793434589766e-05
"29",9.07910742476117e-05,7.1079096062649e-05,6.65454267546832e-05,6.57515201227961e-05
"30",3.21378904414991e-05,9.07910742476117e-05,6.36502613062273e-05,6.70618565034412e-05
"31",3.62655888601757e-05,3.21378904414991e-05,5.44370956970602e-05,6.52547256729587e-05
"32",0.000128372595554361,3.62655888601757e-05,5.46809632235868e-05,6.37349501141151e-05
"33",5.04819010588653e-05,0.000128372595554361,7.17292490332593e-05,6.75369587524597e-05
"34",8.69501124135831e-05,5.04819010588653e-05,6.76098100325025e-05,6.63761702140497e-05
"35",0.000167283746823676,8.69501124135831e-05,6.68416176656968e-05,6.4391411519186e-05
"36",0.000126476355758055,0.000167283746823676,9.38707889421322e-05,6.74920830273686e-05
"37",0.000101934806552195,0.000126476355758055,0.000111912942321708,7.11871733685866e-05
"38",0.000108257016952193,0.000101934806552195,0.000106625384521275,7.43679359144934e-05
"39",7.03169464443886e-05,0.000108257016952193,0.000118180407699941,7.67722701382845e-05
"40",6.14171565972128e-05,7.03169464443886e-05,0.000114853774506102,7.75172103968186e-05
"41",9.54444762791098e-05,6.14171565972128e-05,9.3680456460809e-05,7.72498168501588e-05
"42",6.52358705968299e-05,9.54444762791098e-05,8.747408056502e-05,7.82394001546348e-05
"43",0.000181191112350225,6.52358705968299e-05,8.01342933739469e-05,7.99653816344956e-05
"44",8.65032513613574e-05,0.000181191112350225,9.47211124535532e-05,8.33430774441346e-05
"45",9.0669627812536e-05,8.65032513613574e-05,9.79583734369469e-05,8.53687315228411e-05
"46",7.13156852387123e-05,9.0669627812536e-05,0.000103808867680012,8.69298483580587e-05
"47",9.16170298824237e-05,7.13156852387123e-05,9.89831094719321e-05,8.53866112557324e-05
"48",4.61163918101848e-05,9.16170298824237e-05,0.000104259341329051,8.59963072282364e-05
"49",2.82426446024404e-05,4.61163918101848e-05,7.72443972210428e-05,8.64994954365383e-05
"50",0.000102824227643315,2.82426446024404e-05,6.55922758692595e-05,8.58227444409221e-05
"51",5.33442748756074e-05,0.000102824227643315,6.80231958354153e-05,8.7265704967316e-05
